type,province,city,area,name,lng,lat,street_id,telephone
麻辣烫,湖南省,长沙市,岳麓区,杨国福麻辣烫(财院路店),112.933409,28.207271,0bb30714cd8f68facb213d5e,18182105448
麻辣烫,湖南省,长沙市,岳麓区,友家麻辣烫(达美店),112.919473,28.208797,无数据,18684891322
麻辣烫,湖南省,长沙市,岳麓区,益阳麻辣烫,112.93366,28.206765,ac9b580070045e185dbe86ed,13187040255
麻辣烫,湖南省,长沙市,岳麓区,蛮有味骨汤麻辣烫(达美店),112.920043,28.208932,无数据,13787141537
麻辣烫,湖南省,长沙市,岳麓区,大众麻辣烫,112.917802,28.214741,无数据,15507538936
麻辣烫,湖南省,长沙市,岳麓区,老益阳串串麻辣烫湖大店,112.934432,28.206755,无数据,13187040255
麻辣烫,湖南省,长沙市,岳麓区,益阳麻辣烫,112.917556,28.213279,无数据,无数据
麻辣烫,湖南省,长沙市,岳麓区,烧烤麻辣烫,112.929114,28.213697,8033ae78cee2ba4d25e0a032,无数据
麻辣烫,湖南省,长沙市,岳麓区,爱烫吧,112.918681,28.214404,无数据,无数据
沙县小吃,湖南省,长沙市,岳麓区,沙县小吃,112.935745,28.210418,3a59178f8f4bfe9bf8f0cb54,无数据
沙县小吃,湖南省,长沙市,岳麓区,正宗沙县小吃,112.931611,28.206857,bb7391ade83548533904b192,13960507319
沙县小吃,湖南省,长沙市,岳麓区,沙县小吃(溪口18店),112.918492,28.213461,1663da9ac1e44746b5147fd3,18759708307
沙县小吃,湖南省,长沙市,岳麓区,沙县小吃(溪口村店),112.931313,28.212812,72d0169e8be52a314bcc4a17,13960507319
沙县小吃,湖南省,长沙市,岳麓区,福建沙县小吃,112.938172,28.207357,fa9dc26d8b1f8adb2811d14b,18806023836
麻辣烫,湖南省,长沙市,岳麓区,老店麻辣烫,112.946691,28.205231,a0190eae3eeb09c0b34c49a4,无数据
麻辣烫,湖南省,长沙市,岳麓区,小郡肝串串香,112.961885,28.197414,无数据,无数据
麻辣烫,湖南省,长沙市,岳麓区,3妹陀串串香,112.945091,28.204208,无数据,13487315443
麻辣烫,湖南省,长沙市,岳麓区,大众串串香火锅(望月湖店),112.96309,28.210719,无数据,无数据
麻辣烫,湖南省,长沙市,岳麓区,益阳麻辣烫,112.959731,28.191548,08a999d4777d8192a104646b,无数据
沙县小吃,湖南省,长沙市,岳麓区,正宗沙县小吃,112.95769,28.20784,87961024e9b91b91f33cba4c,15673348688
沙县小吃,湖南省,长沙市,岳麓区,沙县小吃(白云路),112.945704,28.204844,无数据,13017298075
麻辣烫,湖南省,长沙市,天心区,杨国福麻辣烫(三泰街店),112.980364,28.199778,2e0011921a807ed3e215f9e2,18107480248
麻辣烫,湖南省,长沙市,天心区,爱情麻辣烫(南门口店),112.983157,28.191061,ac60a7e1dbed54d60bccdd60,18692240523
麻辣烫,湖南省,长沙市,芙蓉区,罗记麻辣烫(总店),113.000336,28.196412,f633606ae7cb16570a69d99d,(0731)82222510
麻辣烫,湖南省,长沙市,芙蓉区,姥娘麻辣烫(复兴店),112.995544,28.195261,0831eca35a92e9b713293538,13755186026
麻辣烫,湖南省,长沙市,开福区,杨国福麻辣烫(万达店),112.978284,28.204567,3508e9a3bcb6d5db0c0e6b26,18476749567
麻辣烫,湖南省,长沙市,天心区,武汉真味麻辣烫,112.981304,28.189629,cf593061fad26452f119376d,13808435217
麻辣烫,湖南省,长沙市,芙蓉区,烫吖吖麻辣烫(五一路店),112.996557,28.200274,无数据,15608499888
麻辣烫,湖南省,长沙市,开福区,刘大姐骨汤麻辣烫,112.988229,28.207185,无数据,18874021598
麻辣烫,湖南省,长沙市,开福区,爱烫吧骨汤麻辣烫(蔡锷路店),112.987901,28.21232,无数据,18673121982
麻辣烫,湖南省,长沙市,天心区,老街麻辣烫,112.988167,28.192392,无数据,13723898484
麻辣烫,湖南省,长沙市,开福区,正宗重庆骨汤麻辣烫(长沙店),112.982023,28.203467,83dd532d94b65aae82a12e58,15580890163
麻辣烫,湖南省,长沙市,开福区,蛮有味麻辣烫,112.994755,28.209394,无数据,无数据
麻辣烫,湖南省,长沙市,天心区,胡记蓉城串串香(都正街店),112.987348,28.191334,53335ce9aa315a61b04c497a,无数据
麻辣烫,湖南省,长沙市,天心区,红壶麻辣烫,112.977695,28.198139,无数据,18684806929
麻辣烫,湖南省,长沙市,芙蓉区,好再来麻辣烫,112.985349,28.193689,无数据,13107313050
麻辣烫,湖南省,长沙市,芙蓉区,老三彭哥麻辣烫,112.993747,28.19686,45e07311cb22fab4e50738d0,15388041870
麻辣烫,湖南省,长沙市,芙蓉区,姥妈麻辣烫捞(步行街店),112.984035,28.196222,无数据,13755001535
麻辣烫,湖南省,长沙市,开福区,姥娘麻辣烫,112.982247,28.204778,4c2c7ae6594826a6256e9884,18711764406
麻辣烫,湖南省,长沙市,天心区,吉祥麻辣烫(衣铺街店),112.979179,28.195827,60383cc39b1346e722026250,无数据
麻辣烫,湖南省,长沙市,开福区,神龙冒菜(五一分店),112.98105,28.204057,3750944cc09cd1882e47335b,"13575158502,17775850882"
麻辣烫,湖南省,长沙市,天心区,红唇串串香,112.982535,28.198233,无数据,无数据
麻辣烫,湖南省,长沙市,芙蓉区,重庆麻辣烫,112.984142,28.203413,4acfb3abd455169548cc4adc,"13142225598,15274957357"
麻辣烫,湖南省,长沙市,天心区,玉林串串香,112.980299,28.197663,无数据,无数据
麻辣烫,湖南省,长沙市,芙蓉区,冒似很火老成都冒菜,112.993107,28.198849,无数据,无数据
麻辣烫,湖南省,长沙市,芙蓉区,麻辣碗约麻辣烫,112.984919,28.200641,6c543126781730b92bd7abf4,无数据
麻辣烫,湖南省,长沙市,开福区,姊妹串串香秘制烤鸭肠,112.982553,28.204297,无数据,13469269612
麻辣烫,湖南省,长沙市,天心区,小月君肝火锅串串香,112.977884,28.19778,无数据,无数据
麻辣烫,湖南省,长沙市,天心区,钢管厂小郡肝串串香,112.981163,28.199178,无数据,(0731)85461878
麻辣烫,湖南省,长沙市,天心区,严大厨蜀味传统麻辣烫,112.981977,28.190759,无数据,13476299264
麻辣烫,湖南省,长沙市,芙蓉区,君临鱼粉麻辣烫,112.99142,28.197655,无数据,13739055719
麻辣烫,湖南省,长沙市,天心区,功夫荷叶饭,112.979726,28.188104,无数据,13107218605
沙县小吃,湖南省,长沙市,开福区,沙县小吃(芙蓉中路店),112.993269,28.211913,d1f13246bd382a795cbe865e,17350326629
沙县小吃,湖南省,长沙市,天心区,沙县小吃,112.977286,28.18618,无数据,无数据
沙县小吃,湖南省,长沙市,天心区,沙县小吃(坡子街店),112.976622,28.197019,无数据,13787091906
沙县小吃,湖南省,长沙市,芙蓉区,中华美食沙县小吃,112.993327,28.194209,无数据,(0731)83589357
沙县小吃,湖南省,长沙市,天心区,正宗沙县小吃,112.98001,28.199275,无数据,无数据
沙县小吃,湖南省,长沙市,开福区,福建沙县小吃(红墙巷店),112.987918,28.212184,35d398079074d28c306212e9,18974918661
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(登隆街),112.984436,28.195288,无数据,"13105937990,18960598222"
沙县小吃,湖南省,长沙市,开福区,沙县小吃(营盘路店),112.99493,28.209424,无数据,15111432231
沙县小吃,湖南省,长沙市,天心区,沙县小吃(城市之心店),112.992569,28.188604,无数据,无数据
沙县小吃,湖南省,长沙市,开福区,沙县小吃(轩辕殿巷),112.981393,28.202013,无数据,无数据
沙县小吃,湖南省,长沙市,芙蓉区,智慧天心(沙县小吃),112.984203,28.204843,无数据,18589030949
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(黄泥街),112.987037,28.202015,无数据,无数据
麻辣烫,湖南省,长沙市,芙蓉区,丹妹麻辣烫,113.007924,28.202421,4e2aa9086a59cc6c6fc02cf0,无数据
麻辣烫,湖南省,长沙市,芙蓉区,串香园骨汤麻辣烫(五里牌店),113.019536,28.203865,0687cbf61260b0c7eb56fa26,13707483314
麻辣烫,湖南省,长沙市,芙蓉区,重庆麻辣烫(华天店),113.007012,28.198209,d03db9d6c0a83efbe60738f8,18573717778
麻辣烫,湖南省,长沙市,芙蓉区,自助麻辣烫(燕山街店),113.007687,28.202626,15c561920a2711f31ff74d88,13548662021
麻辣烫,湖南省,长沙市,芙蓉区,爱烫吧骨汤麻辣烫,113.030544,28.193286,无数据,15673787937
麻辣烫,湖南省,长沙市,芙蓉区,爱烫吧骨汤麻辣烫,113.006866,28.197477,8b4b91821695922e88db7386,无数据
麻辣烫,湖南省,长沙市,雨花区,姥妈麻辣烫(左家塘店),113.008002,28.185217,3f698f050dbd119a8bb988a0,13687394616
麻辣烫,湖南省,长沙市,芙蓉区,固汤麻辣烫(恒业巷),113.026465,28.196588,946f6dd264771d81bea240b5,15673787937
麻辣烫,湖南省,长沙市,芙蓉区,麻辣烫蛮有味,113.02829,28.201015,无数据,13187210861
麻辣烫,湖南省,长沙市,芙蓉区,建哥麻辣烫,113.013761,28.202766,b835e2a5b03fcf4a3310af33,15116494021
麻辣烫,湖南省,长沙市,芙蓉区,重庆麻辣烫(金苹果店),113.01491,28.195261,无数据,无数据
麻辣烫,湖南省,长沙市,芙蓉区,益阳麻辣烫,113.023962,28.196033,无数据,13667387757
麻辣烫,湖南省,长沙市,芙蓉区,津市牛肉粉麻辣烫,113.017679,28.209267,6b46b8b506f49c64d12dd661,13787158698
麻辣烫,湖南省,长沙市,雨花区,麻辣演义川蜀老味麻辣烫,113.012047,28.188105,80b3767dad0d09fc1b11d59f,无数据
麻辣烫,湖南省,长沙市,芙蓉区,蜀宗签味串串香(远大一路店),113.024584,28.203676,无数据,17608487588
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(德政园店),113.024576,28.196928,8602ae6b56a1a68cb8bd63c4,无数据
沙县小吃,湖南省,长沙市,芙蓉区,福建沙县小吃(李记分店),113.015553,28.198201,f12d856318590c1aeee4a525,13107419199
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(袁家岭店),113.004188,28.19967,无数据,无数据
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(火车站店),113.015064,28.196761,无数据,18650921067
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(人民中路),113.002756,28.191771,01ec8d20fc32736549fc8d0d,"15575992752,15211056661"
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(解放东路店),113.007011,28.19626,无数据,无数据
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(德政园店),113.02638,28.194981,无数据,"18650921067,18570601870"
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃黄焖鸡米饭,113.019685,28.204,8649514d19a6ba44c2f1cf0a,0731-89837455
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(东二环店),113.02564,28.206481,无数据,18274818370
沙县小吃,湖南省,长沙市,雨花区,沙县小吃集团长沙公司,113.025938,28.188082,b1188d06629c55e917c8f6cb,无数据
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(晨启大厦西北),113.028943,28.203165,无数据,18259889825
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃黄焖鸡米饭,113.013292,28.19274,f2f02bce45cc897e28d7ab6d,13774609396
麻辣烫,湖南省,长沙市,芙蓉区,小猪憨尼麻辣烫(万家丽店),113.038509,28.196956,664c9f1fddcec30882288a80,13307344555
麻辣烫,湖南省,长沙市,芙蓉区,正宗重庆麻辣烫(长房东郡店),113.03517,28.194344,无数据,13203138655
麻辣烫,湖南省,长沙市,芙蓉区,爱尚疯狂双骨瓦罐麻辣烫,113.039195,28.21201,无数据,18229868223
麻辣烫,湖南省,长沙市,芙蓉区,辣一夜麻辣烫,113.046704,28.201863,无数据,15084752810
麻辣烫,湖南省,长沙市,芙蓉区,钢管厂五区小郡肝火锅串串香,113.039308,28.197563,无数据,无数据
麻辣烫,湖南省,长沙市,芙蓉区,小君肝串串香(德政园店),113.031749,28.193664,503336d1ac1809e51d58008e,(0731)82776060
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(金科佳苑店),113.04588,28.202314,e72243d8db6887b79868b471,18974835255
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(东郡店),113.037707,28.194111,e1ebed71ee97a3d1a2a9345e,"15959834042,18890358301"
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(好润佳购物中心东南),113.038387,28.207078,无数据,"15960958122,13508497516"
沙县小吃,湖南省,长沙市,雨花区,沙县小吃(嘉雨路店),113.040573,28.187644,c5dec04fb7fe161500ff2d83,15802595788
沙县小吃,湖南省,长沙市,雨花区,沙县小吃(花桥小区西北),113.053828,28.189064,无数据,15859053983
沙县小吃,湖南省,长沙市,雨花区,沙县小吃(双水湾嘉园店),113.053199,28.191854,55368df7b590b3e6e9f85312,无数据
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(百衲广场店),113.036507,28.201097,无数据,13875983793
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(嘉雨路),113.041351,28.209906,无数据,无数据
麻辣烫,湖南省,长沙市,芙蓉区,杨国福麻辣烫(农大店),113.085134,28.189475,8fdf5ef2180abf89d1f49e7f,13397300310
麻辣烫,湖南省,长沙市,芙蓉区,正宗益阳麻辣烫,113.085369,28.189015,5972939a1e9957f7eae58293,无数据
麻辣烫,湖南省,长沙市,芙蓉区,大嘴巴极品麻辣烫,113.086221,28.189753,37142ec75c3d2aad33621211,15675840626
麻辣烫,湖南省,长沙市,芙蓉区,麻辣烫,113.082451,28.199327,无数据,无数据
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(远大一路),113.061191,28.20668,f03ee12e1118b28003ff2d13,无数据
沙县小吃,湖南省,长沙市,芙蓉区,沙县小吃(张公岭店),113.066444,28.207435,8940ad665c06bc72d81318e7,15616119069
沙县小吃,湖南省,长沙市,芙蓉区,福建沙县小吃,113.065481,28.202621,cbe1c27b4d2c1b52d3ff2378,13787019632
麻辣烫,湖南省,长沙市,岳麓区,周记麻辣烫(裕民小区店),112.939265,28.220828,3f5979875d2bec73b04c49d2,18627597282
麻辣烫,湖南省,长沙市,岳麓区,正宗重庆麻辣烫(欣欣新村店),112.919731,28.217191,0c7679ab10d3a07e0f0a7072,18774985179
麻辣烫,湖南省,长沙市,岳麓区,食尚骨汤麻辣烫(西站店),112.918304,28.219229,8f69253c24ec135c88fc0622,13142275969
麻辣烫,湖南省,长沙市,岳麓区,老益阳麻辣烫,112.918927,28.219355,a407078d056e40598bdb7316,(0731)81812603
麻辣烫,湖南省,长沙市,岳麓区,谢大姐麻辣烫,112.917375,28.220001,无数据,无数据
麻辣烫,湖南省,长沙市,岳麓区,陈记麻辣烫,112.915305,28.218764,ca688dacb48091f66c476045,15898464928
麻辣烫,湖南省,长沙市,岳麓区,蛮有味麻辣烫,112.919486,28.217944,ae6a3e1ecffebe01ff0eb0cb,无数据
麻辣烫,湖南省,长沙市,岳麓区,老香麻辣烫,112.923694,28.221974,5a012c38d43bc173028972d9,15675846089
麻辣烫,湖南省,长沙市,岳麓区,放放麻辣烫,112.928886,28.221025,无数据,"15873135986,15874190486"
麻辣烫,湖南省,长沙市,岳麓区,正宗油炸麻辣烫,112.929127,28.2169,d33e12faee6d36ed99005043,无数据
麻辣烫,湖南省,长沙市,岳麓区,香锅里辣麻辣烫,112.913288,28.223327,无数据,无数据
麻辣烫,湖南省,长沙市,岳麓区,姥娘麻辣捞烫(商学院店),112.923696,28.225592,a2fb8ced8da4030f97f08c57,18692769402
麻辣烫,湖南省,长沙市,岳麓区,老成都冒菜,112.92983,28.221955,9992882c3d1bba1bf7e73b5d,13728629069
麻辣烫,湖南省,长沙市,岳麓区,钢管厂小郡肝串串香,112.914806,28.216783,无数据,无数据
麻辣烫,湖南省,长沙市,岳麓区,小吃货自助麻辣烫,112.918295,28.218941,e3868f211ad7bb1b1e580038,17752861556
麻辣烫,湖南省,长沙市,岳麓区,麻辣烫,112.91582,28.225956,60d74e53078a100d5bf6beb9,无数据
沙县小吃,湖南省,长沙市,岳麓区,沙县小吃(星语林店),112.933561,28.219162,62c6d35b6d259330c8213d02,18960595068
沙县小吃,湖南省,长沙市,岳麓区,沙县小吃(溪口1号店),112.913162,28.237708,06211ef2736185c51b11d585,无数据
沙县小吃,湖南省,长沙市,岳麓区,沙县小吃,112.927563,28.224734,无数据,18350859706
沙县小吃,湖南省,长沙市,岳麓区,正宗沙县小吃(含光路),112.933373,28.242985,7419d9694dfddb4d2cb96d8a,无数据
沙县小吃,湖南省,长沙市,岳麓区,沙县小吃(西站店),112.916998,28.220121,无数据,15580911291
